"Crop","State","Season","Area-2021-22","Area-2022-23","Area-2023-24","Area-2024-25","Area-2025-26","Production-2021-22","Production-2022-23","Production-2023-24","Production-2024-25","Production-2025-26","Yield-2021-22","Yield-2022-23","Yield-2023-24","Yield-2024-25","Yield-2025-26"
"Rice","Bihar","Kharif","30.37","28.09","30.50","31.84","32.59","75.72","68.73","77.29","81.42","85.85","2493.00","2447.00","2534.00","2557.00","2634.00"
"Rice","Bihar","Rabi","0.54","","","","","1.45","","","","","2682.00","","","",""
"Rice","Bihar","Summer","","0.54","0.60","0.58","0.57","","1.50","1.73","1.60","1.61","","2778.00","2888.00","2769.00","2812.00"
"Rice","Bihar","Total","30.91","28.63","31.10","32.42","33.16","77.17","70.23","79.02","83.02","87.46","2496.00","2453.00","2541.00","2561.00","2637.00"
"Rice","Chandigarh","Kharif","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","","5500.00","3950.00","4979.00","3667.00",""
"Rice","Chandigarh","Rabi","0.00","","","","","0.00","","","","","0.00","","","",""
"Rice","Chandigarh","Total","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","","5500.00","3950.00","4979.00","3667.00",""
"Rice","Haryana","Kharif","12.81","15.20","15.63","16.09","17.26","46.18","51.09","59.76","60.60","61.62","3605.00","3362.00","3822.00","3766.00","3570.00"
"Rice","Haryana","Rabi","","","","","","0.00","","","","","","","","",""
"Rice","Haryana","Total","12.81","15.20","15.63","16.09","17.26","46.18","51.09","59.76","60.60","61.62","3605.00","3362.00","3822.00","3766.00","3570.00"
"Rice","Punjab","Kharif","29.69","30.98","31.79","32.43","32.68","128.85","129.91","143.56","143.61","125.33","4340.00","4193.00","4516.00","4428.00","3835.00"
"Rice","Punjab","Rabi","","","","","","0.00","","","","","","","","",""
"Rice","Punjab","Total","29.69","30.98","31.79","32.43","32.68","128.85","129.91","143.56","143.61","125.33","4340.00","4193.00","4516.00","4428.00","3835.00"
"Rice","Uttar Pradesh","Kharif","56.76","58.66","57.32","71.50","67.89","151.83","160.33","158.65","201.45","191.92","2675.00","2733.00","2768.00","2817.00","2827.00"
"Rice","Uttar Pradesh","Rabi","0.27","","","","","0.88","","","","","3268.00","","","",""
"Rice","Uttar Pradesh","Summer","","0.32","0.36","2.00","2.00","","1.10","1.25","6.14","6.14","","3439.00","3474.00","3068.00","3068.00"
"Rice","Uttar Pradesh","Total","57.03","58.98","57.68","73.50","69.89","152.72","161.43","159.90","207.59","198.05","2678.00","2737.00","2772.00","2824.00","2834.00"
