point_id,latitude,longitude,label,survey_date
1,29.4850,75.4050,paddy,2022-09-05
2,29.4870,75.4080,paddy,2022-09-05
3,29.4900,75.4110,paddy,2022-09-05
4,29.4930,75.4140,non_paddy,2022-09-05
5,29.4960,75.4170,paddy,2022-09-06
6,29.4990,75.4200,water,2022-09-06
7,29.5020,75.4230,paddy,2022-09-06
8,29.5050,75.4260,non_paddy,2022-09-06
9,29.5080,75.4290,paddy,2022-09-07
10,29.5110,75.4320,paddy,2022-09-07
11,29.4820,75.4030,non_paddy,2022-09-07
12,29.4780,75.4010,paddy,2022-09-07
13,29.4750,75.4350,water,2022-09-08
14,29.4700,75.4380,paddy,2022-09-08
15,29.5150,75.4400,non_paddy,2022-09-08
