level,region,year_clean,area_000ha,production_000t,yield_kg_ha,yield_t_ha,source
state,Haryana,1966-67,192.0,223.0,1161.0,1.161,"State Statistical Abstract of Haryana 2022-23, Table 14.7"
state,Haryana,1970-71,269.2,460.0,1697.0,1.697,"State Statistical Abstract of Haryana 2022-23, Table 14.7"
state,Haryana,1980-81,483.9,1259.0,2606.0,2.606,"State Statistical Abstract of Haryana 2022-23, Table 14.7"
state,Haryana,1990-91,661.2,1834.0,2775.0,2.775,"State Statistical Abstract of Haryana 2022-23, Table 14.7"
state,Haryana,2000-01,1054.3,2695.0,2557.0,2.557,"State Statistical Abstract of Haryana 2022-23, Table 14.7"
state,Haryana,2010-11,1243.3,3465.0,2788.0,2.788,"State Statistical Abstract of Haryana 2022-23, Table 14.7"
state,Haryana,2019-20,1559.0,5198.0,3334.0,3.334,"State Statistical Abstract of Haryana 2022-23, Table 14.7"
state,Haryana,2020-21,1525.8,5633.0,3692.0,3.692,"State Statistical Abstract of Haryana 2022-23, Table 14.7"
state,Haryana,2021-22,1534.5,5514.0,3594.0,3.594,"State Statistical Abstract of Haryana 2022-23, Table 14.7"
district,Ambala,2021-22,93.9,386.0,4107.0,4.107,"State Statistical Abstract of Haryana 2022-23, Table 14.7"
district,Bhiwani,2021-22,22.3,47.0,2099.0,2.099,"State Statistical Abstract of Haryana 2022-23, Table 14.7"
district,Charkhi Dadri,2021-22,4.9,9.0,1849.0,1.849,"State Statistical Abstract of Haryana 2022-23, Table 14.7"
district,Faridabad,2021-22,14.9,33.0,2218.0,2.218,"State Statistical Abstract of Haryana 2022-23, Table 14.7"
district,Fatehabad,2021-22,129.2,524.0,4057.0,4.057,"State Statistical Abstract of Haryana 2022-23, Table 14.7"
district,Gurugram,2021-22,4.9,13.0,2779.0,2.779,"State Statistical Abstract of Haryana 2022-23, Table 14.7"
district,Hisar,2021-22,82.9,239.0,2882.0,2.882,"State Statistical Abstract of Haryana 2022-23, Table 14.7"
district,Jhajjar,2021-22,38.7,104.0,2685.0,2.685,"State Statistical Abstract of Haryana 2022-23, Table 14.7"
district,Jind,2021-22,150.7,502.0,3331.0,3.331,"State Statistical Abstract of Haryana 2022-23, Table 14.7"
district,Kaithal,2021-22,176.1,710.0,4033.0,4.033,"State Statistical Abstract of Haryana 2022-23, Table 14.7"
district,Karnal,2021-22,175.8,680.0,3868.0,3.868,"State Statistical Abstract of Haryana 2022-23, Table 14.7"
district,Kurukshetra,2021-22,124.6,594.0,4767.0,4.767,"State Statistical Abstract of Haryana 2022-23, Table 14.7"
district,Nuh,2021-22,8.2,21.0,2544.0,2.544,"State Statistical Abstract of Haryana 2022-23, Table 14.7"
district,Palwal,2021-22,34.2,97.0,2830.0,2.83,"State Statistical Abstract of Haryana 2022-23, Table 14.7"
district,Panchkula,2021-22,13.6,54.0,4012.0,4.012,"State Statistical Abstract of Haryana 2022-23, Table 14.7"
district,Panipat,2021-22,83.3,236.0,2830.0,2.83,"State Statistical Abstract of Haryana 2022-23, Table 14.7"
district,Rewari,2021-22,0.9,2.0,1981.0,1.981,"State Statistical Abstract of Haryana 2022-23, Table 14.7"
district,Rohtak,2021-22,67.1,191.0,2850.0,2.85,"State Statistical Abstract of Haryana 2022-23, Table 14.7"
district,Sirsa,2021-22,105.6,372.0,3524.0,3.524,"State Statistical Abstract of Haryana 2022-23, Table 14.7"
district,Sonipat,2021-22,114.1,305.0,2676.0,2.676,"State Statistical Abstract of Haryana 2022-23, Table 14.7"
district,Yamunanagar,2021-22,88.6,395.0,4454.0,4.454,"State Statistical Abstract of Haryana 2022-23, Table 14.7"
